,Match_No,Game,POINT,Shot_no,Played_by,Shot,ShotCodeIds,Placement,LUCKY,TIMEOUT,ErrorType,Player_A_Name,Player_B_Name,Date,PlayerType,PlayingStyle,RubberCombination,Opponent,Opponent_Player_Type,Gender,World_Rank,PLAYERA_ID,PLAYERB_ID,PlayerAType,PlayerBType,ProcessStatus,DataSource,DataLock,UploadId,Movement,Movement_new,X,Y,ProcessMessage,ProcessDatetime,MatchType,primary_key,AttackingNonAttacking,AttackingNonAttacking_New,SERVICE_BY,RECEIVE,Combination_field,BinaryofAttackShot,PlacementR_L,ErrorPlacementR_L,shots1_3,shots2_4,Reverse_Placement,last3_shots,lastAndThirdLast,lastAndThirdLast_Placement,Missed_Shot_By,Second_Last_Shot,Last_Shot,Third_Last_Shot,First_Shot,Second_Last_Reverse_Placement,SetWonby,Second_Shot,SCORE,SCOREA,SCOREB,pointon2ndshot,pointon3ndshot,pointon4ndshot,Lost_by,WON_BY,MISSED_SHOT_BY,WINNER_SHOT_BY,MissedType,AttackedFirst,Point3ServiceByName,Point3Shot,Point3placement,Point2ServiceByName,Point2Shot,Point2Placement,Serve_Place,Second_Last_Placement,WinnerShot,Loston4th_1stshot,Loston4th_2ndshot,Loston4th_3rdshot,Loston4th_4thshot,Errorplacement,Fourth_Last_Second_Last_Placement,WinnerShotGTL,Unconditional,Conditional,WinType,POINT_AttackCombination,Reverse_Row_ID
0,717,1,1,0,Payas Jain,SB,34,BHH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,,Service Bounce,,,717-1-1,0,BHH,BHH,,,BHH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
1,717,1,1,1,Payas Jain,FH-SSL,"11,26,14",CH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,Y,,717-1-1,0,CH,CH,,,CH,,,,,,,,FH-SSL,,,FH-LP,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
2,717,1,1,2,Shubh Goel,FH-LP,"11,15",BHH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,Y,717-1-1,1,BHH,BHH,,,FHH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,FH-LP,,,,1,2
3,717,1,1,3,Payas Jain,BH-TS,"1,33",OUT,,,Unforced,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-1-1,1,OUT,OUT,FH-SSL-BH-TS,,OUT,FH-SSL-FH-LP-BH-TS,FH-SSL-BH-TS,,Payas Jain,FH-LP,BH-TS,FH-SSL,,FHH,,0,0-1,0,1,0,1,0,Payas Jain,Shubh Goel,Payas Jain,,OUT,Shubh Goel,Shubh Goel,FH-LP,BHH,,,,FH-SSL-CH,BHH,FH-LP,,,,,BHH,BHH,,,FH-LP,Conditional,0,1
4,717,1,2,0,Payas Jain,SB,34,EBHH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,,Service Bounce,,,717-1-2,0,EBHH,EBHH,,,EBHH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
5,717,1,2,1,Payas Jain,FH-BSS,"11,2,24",FHS,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,Y,,717-1-2,0,FHS,FHS,,,BHS,,,,,,,,FH-BSS,,,FH-SP,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5
6,717,1,2,2,Shubh Goel,FH-SP,"11,35",CS,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,,Y,717-1-2,0,CS,CS,,,CS,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
7,717,1,2,3,Payas Jain,FH-LP,"11,15",CH,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-1-2,1,CH,CH,FH-BSS-FH-LP,,CH,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
8,717,1,2,4,Shubh Goel,BH-TS,"1,33",NG,,,,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Payas Jain,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Attacking Shot,,,,717-1-2,1,NG,NG,,FH-SP-BH-TS,NG,,,,,,,,,,,0,,99,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,BH-TS,,,,0,2
9,717,1,2,5,Payas Jain,NE,",17",NET,,,Others,Payas Jain,Shubh Goel,2020-10-08 00:00:00.000000,Righty,Attacking,Plain(FH)-Plain(BH),Shubh Goel,Righty,M,,SPO_TT_5,SPO_TT_3,Righty,Righty,3,2,,501,,,0,0,Data Process successfully,2021-05-13 07:25:44.058068,,,Non Attacking Shot,,,,717-1-2,0,NET,NET,,,NET,FH-LP-BH-TS-NE,FH-LP-NE,CS-NG,Payas Jain,BH-TS,NE,FH-LP,,NG,,0,0-2,0,1,0,0,0,Payas Jain,Shubh Goel,Payas Jain,,NET,Payas Jain,,,,,,,,NG,BH-TS,,,,,NG,NG,,,BH-TS,Conditional,0,1
