,Pk_ID,Match_No,Game,POINT,Shot_no,Played_by,Shot,Placement,SCORE,LUCKY,TIMEOUT,SetWonby,ErrorType,Player_A_Name,Player_B_Name,Date,AttackingNonAttacking,AttackingNonAttacking_New,Combination_field,BinaryofAttackShot,POINT_AttackCombination,AttackedFirst,SERVICE_BY,RECEIVE,WINNER_SHOT_BY,MISSED_SHOT_BY,MissedType,WON_BY,Lost_BY,SCOREA,SCOREB,shots1_3,shots2_4,Last3shots,LastAnd3rdLast,LastAnd3rdLast_Placement,Second_Last_Shot,Last_Shot,Third_Last_Shot,First_Shot,Second_Shot,pointon2ndshot,pointon3rdshot,pointon4thshot,Point2ServiceByName,Point2Shot,Point2placement,Point3RerviceByName,Point3Shot,Point3placement,Serve_Place,Second_Last_placement,Second_Last_Reverse_Placement,WinnerShot,Unconditional,Conditional,WinType,Loston4th_1stshot,Loston4th_2ndshot,Loston4th_3rdshot,Loston4th_4thshot,Errorplacement,PlayerType,PlacementR_L,ErrorPlacementR_L,PlayingStyle,RubberCombination,Opponent,Opponent_Player_Type,Fourth_Last_Second_Last_Placement,Movement,Movement_new,PlayerAType,PlayerBType,Placement_A_B,X,Y,WinnerShotGTL,Gender,World_Rank,Reverse_Placement,Reverse_Row_ID,PLAYERA_ID,PLAYERB_ID,primary_key,ProcessStatus,ProcessMessage,ProcessDatetime,DataSource,ShotCodeIds,DataLock,UploadId,MatchType
0,1,3,1,1,1,Wesley,FH-SBL,EBHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-1-1,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBL,FH-DP,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,EFHH,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,EFHHB,0,0,,M,,EFHH,3,SPO_TT_2,SPO_TT_13,44132,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
1,2,3,1,1,1,Wesley,FH-SBL,EBHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-1-1,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBL,FH-DP,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,EFHH,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,EFHHB,0,0,,M,,EFHH,3,SPO_TT_2,SPO_TT_13,49276,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
2,3,3,1,1,2,Manush,FH-DP,BHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-1-1,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-SBL,FH-DP,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHH,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,FHHA,0,0,FH-DP,M,,FHH,2,SPO_TT_2,SPO_TT_13,49277,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
3,4,3,1,1,3,Wesley,BH-TS,OUT,0-1,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-1-1,1,1,Wesley,,,,Wesley,OUT,Manush,Wesley,0,1,FH-SBL-BH-TS,,FH-SBL-FH-DP-BH-TS,FH-SBL-BH-TS,,FH-DP,BH-TS,FH-SBL,FH-SBL,FH-DP,0,1,0,,,,Manush,FH-DP,BHH,FH-SBL-EBHH,BHH,FHH,FH-DP,,FH-DP,Conditional,,,,,FHH,Lefty,OUT,FHH,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49278,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
4,5,3,1,2,1,Wesley,FH-RSBS,FHS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-1-2,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-RSBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,BHS,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,BHSB,0,0,,M,,BHS,3,SPO_TT_2,SPO_TT_13,49279,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
5,6,3,1,2,2,Manush,FH-P,EFHH,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-1-2,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-RSBS,FH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,EBHH,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,EBHHA,0,0,FH-P,M,,EBHH,2,SPO_TT_2,SPO_TT_13,49280,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
6,7,3,1,2,3,Wesley,FH-TS,OUT,0-2,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-1-2,1,1,Wesley,,,,Wesley,OUT,Manush,Wesley,0,1,FH-RSBS-FH-TS,,FH-RSBS-FH-P-FH-TS,FH-RSBS-FH-TS,,FH-P,FH-TS,FH-RSBS,FH-RSBS,FH-P,0,1,0,,,,Manush,FH-P,EFHH,FH-RSBS-FHS,EFHH,EBHH,FH-P,,FH-P,Conditional,,,,,EBHH,Lefty,OUT,EBHH,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49281,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
7,8,3,1,3,1,Manush,FH-BSS,CS,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-1-3,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-BSS,FH-DP,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,CS,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,CSA,0,0,FH-BSS,M,,CS,2,SPO_TT_2,SPO_TT_13,49282,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
8,9,3,1,3,2,Wesley,FH-DP,NET,0-3,,,,Unforced,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-1-3,0,0,,,Y,,Wesley,NET,Manush,Wesley,0,1,,,,,,FH-BSS,FH-DP,,FH-BSS,FH-DP,1,0,0,Manush,FH-BSS,CS,,,,,CS,CS,FH-BSS,,FH-BSS,Conditional,,,,,CS,Lefty,NET,CS,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,NETB,0,0,,M,,NET,1,SPO_TT_2,SPO_TT_13,49283,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
9,10,3,1,4,1,Manush,FH-SBL,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-1-4,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBL,FH-TS,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,FHLA,0,0,FH-SBL,M,,FHL,2,SPO_TT_2,SPO_TT_13,49284,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
10,11,3,1,4,2,Wesley,FH-TS,NET,0-4,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-1-4,1,1,Wesley,,Y,,Wesley,NET,Manush,Wesley,0,1,,,,,,FH-SBL,FH-TS,,FH-SBL,FH-TS,1,0,0,Manush,FH-SBL,BHL,,,,,BHL,FHL,FH-SBL,,FH-SBL,Conditional,,,,,FHL,Lefty,NET,FHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,NETB,0,0,,M,,NET,1,SPO_TT_2,SPO_TT_13,49285,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
11,12,3,1,5,1,Wesley,FH-SBL,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Serve,3-1-5,0,1,,Y,,,,,,,99,99,,,,,,,,,FH-SBL,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,FHLB,0,0,,M,,FHL,3,SPO_TT_2,SPO_TT_13,49286,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
12,13,3,1,5,2,Manush,BH-P,BHL,,,,,,Wesley,Manush,2018-09-28,Non Attacking Shot,Non Attacking Shot,3-1-5,0,0,,,Y,,,,,,99,99,,,,,,,,,FH-SBL,BH-P,0,0,0,,,,,,,,,,,,,,,,,,,Lefty,FHL,,Attacking,Plain(FH)-Plain(BH),Wesley,Lefty,,,,Lefty,Lefty,FHLA,0,0,BH-P,M,,FHL,2,SPO_TT_2,SPO_TT_13,49287,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
13,14,3,1,5,3,Wesley,BH-TS,OUT,0-5,,,,Unforced,Wesley,Manush,2018-09-28,Attacking Shot,Attacking Shot,3-1-5,1,1,Wesley,,,,Wesley,OUT,Manush,Wesley,0,1,FH-SBL-BH-TS,,FH-SBL-BH-P-BH-TS,FH-SBL-BH-TS,,BH-P,BH-TS,FH-SBL,FH-SBL,BH-P,0,1,0,,,,Manush,BH-P,BHL,FH-SBL-BHL,BHL,FHL,BH-P,,BH-P,Conditional,,,,,FHL,Lefty,OUT,FHL,Attacking,Plain(FH)-Plain(BH),Manush,Lefty,,,,Lefty,Lefty,OUTB,0,0,,M,,OUT,1,SPO_TT_2,SPO_TT_13,49288,1,Data Process successfully,2019-10-31 08:18:50.400,,,,,
